id,world,atlas_page,title,possession_sources,implemented_stage_rule,implemented_turn,intended_mercy,implementation_state,route_validation
GB-L01,1,13,Sunday Best,Echo,Two-sided parade facades reveal their structural backs after permanent corruption.,The facade route falls away and a backstage return bridge becomes accessible. No countdown.,Hold the smiling mascot's back jaw open with an echo.,EXPERIMENTAL authored graybox; construction and component receipts separate,See opening-route receipt
GB-L02,1,14,Belfry of Late Voices,Echo,Visible sound pulses travel along ropes; opposing brakes demand overlapping arrival windows.,The cracked bell splits every command into weak and delayed strong pulses.,Catch a delayed body on furniture so it reaches the upper clapper differently.,EXPERIMENTAL authored graybox; construction and component receipts separate,UNKNOWN - no end-to-end completion claim
GB-L03,1,15,The Puppet Laundry,Marionette,"Hanging lines sag, counterweights respond to mass, and fans push pendulums.",Surviving rails swing and sag after the supports are cut.,Transfer onto the drying cabinet's side rail and reel up from below.,EXPERIMENTAL authored graybox; construction and component receipts separate,UNKNOWN - no end-to-end completion claim
GB-L04,1,16,House of Borrowed Skins,"Molt,Echo,Marionette",Peel room skins into bridges; shed bodies pin returning hides.,Discarded skins crawl back; solid husks can hold their openings.,Two abandoned skins make the core small enough for the upper seam.,EXPERIMENTAL authored graybox; construction and component receipts separate,UNKNOWN - no end-to-end completion claim
GB-L05,2,19,Pear Tree Gallows,Wax,Ripening fruit changes mass and bends real branches; wax diverts the drain.,Fruit ripens at once and weighted boughs bend into new routes.,Partition wax volume to fit the glass bell without losing the reformed body's reach.,EXPERIMENTAL authored graybox; construction and component receipts separate,UNKNOWN - no end-to-end completion claim
GB-L06,2,20,Kitchen of the Unfinished Feast,"Gullet,Wax",Move actual terrain to route grease into dishes and generate steam.,"Hatch flow reverses, changing which dish receives the grease.",Rehome a structural chunk to redirect the hidden dish's output.,EXPERIMENTAL authored graybox; construction and component receipts separate,UNKNOWN - no end-to-end completion claim
GB-L07,2,21,The Saint's Irrigation Ditch,"Root,Gullet",A bounded pump wets one root seam at a time; the body must follow a curved path.,The local pump reverses its wet-seam sequence.,"Use the briefly wet upper seam, then find a body-sized exit pocket.",EXPERIMENTAL authored graybox; construction and component receipts separate,UNKNOWN - no end-to-end completion claim
GB-L08,2,22,The Garden of No Seasons,"Wax,Gullet,Root",Moving climate bands change soil moisture and growing platforms.,Climate bands stop obeying manual steps and drift continuously.,Prepare a root route while the moving spring band passes through it.,EXPERIMENTAL authored graybox; construction and component receipts separate,UNKNOWN - no end-to-end completion claim
GB-L09,3,25,Tenement of Two Suns,Mirror,Two sunlit apartments have mirrored but independently colliding occupants.,One sun goes out; the moving shutters reverse their support pattern.,Desynchronize the reflection against the apartment's one unmatched cabinet.,EXPERIMENTAL authored graybox; construction and component receipts separate,UNKNOWN - no end-to-end completion claim
GB-L10,3,26,The Street Behind the Wall,"InsideOut,Mirror",Closed fresco stone and its empty complement are separate collision domains.,"Paint loosens, closing and opening different complement corridors.",Close the moon outline to gain a walkable interior that normal space lacks.,EXPERIMENTAL authored graybox; construction and component receipts separate,UNKNOWN - no end-to-end completion claim
GB-L11,3,27,The Perspective Tax Office,"Parallax,InsideOut",Depth-stamped architecture changes physical scale while projected positions coincide.,The tax stamp reverses its near/mid/far order.,Use far-scale clearance and return through the shared projection.,EXPERIMENTAL authored graybox; construction and component receipts separate,UNKNOWN - no end-to-end completion claim
GB-L12,3,28,The Hotel That Is Its Own Courtyard,"Mirror,InsideOut,Parallax",Whole room shells orbit a courtyard while retaining their physical contents.,Courtyard rooms begin an orbital exchange and expose rear exits.,Board a rear-facing orbiting room after the facade opens.,EXPERIMENTAL authored graybox; construction and component receipts separate,UNKNOWN - no end-to-end completion claim
GB-L13,4,31,Rain of Kneeling Men,Censer,"Telegraphed falling witnesses kneel into temporary platforms, then sink.",Witnesses fall more frequently as the return climbs through their temporary poses.,Ride a kneeling witness before its pose sinks away.,EXPERIMENTAL authored graybox; construction and component receipts separate,UNKNOWN - no end-to-end completion claim
GB-L14,4,32,The Seamstress Bridge,"Stitch,Censer",Seam endpoints tug real hinges and change the shape of the bridge.,The bridge's hinges loosen and the return uses the newly folded structure.,Fold two tower edges toward one another rather than extending a rope.,EXPERIMENTAL authored graybox; construction and component receipts separate,UNKNOWN - no end-to-end completion claim
GB-L15,4,33,Procession of Closed Lids,"Coffin,Stitch","Bell commands stop, lower or rotate moving pallbearer platforms.",The bell is silenced; carriers keep moving and must be braced or bypassed.,Rotate into the correct horizontal footprint beneath the grille.,EXPERIMENTAL authored graybox; construction and component receipts separate,UNKNOWN - no end-to-end completion claim
GB-L16,4,34,The Cathedral in Freefall,"Censer,Stitch,Coffin",A severed cathedral physically descends while its exit rises through it.,"Pulling the Nail starts physical descent. Remaining altitude, not a generic timer, is the deadline.",Catch the moving exit-side chapel during the descent.,EXPERIMENTAL authored graybox; construction and component receipts separate,UNKNOWN - no end-to-end completion claim
GB-L17,5,37,Choir of Iron Halos,Lodestone,Orbiting iron objects reverse polarity; free and fixed masses respond differently.,The common polarity clock splits into staggered local rhythms.,Match the orbital motion between two changing magnetic anchors.,EXPERIMENTAL authored graybox; construction and component receipts separate,UNKNOWN - no end-to-end completion claim
GB-L18,5,38,Noon Without Shadows,"Shadow,Lodestone",Moving light and movable screens produce a continuously rebuilt shadow graph.,The noon light moves overhead and erases long natural shadow routes.,Move the screen so the Host's own shadow connects the final gap.,EXPERIMENTAL authored graybox; construction and component receipts separate,UNKNOWN - no end-to-end completion claim
GB-L19,5,39,Scripture That Writes Back,"Ink,Shadow",Punctuation rewraps physical word-platforms; ink supplies temporary alternate routes.,Revisited word-platforms erase behind the player.,Use a temporary ink arc to reach the semicolon's shadow route.,EXPERIMENTAL authored graybox; construction and component receipts separate,UNKNOWN - no end-to-end completion claim
GB-L20,5,40,The White Gate Is Below You,"Echo,Marionette,Molt,Wax,Gullet,Root,Mirror,InsideOut,Parallax,Censer,Stitch,Coffin,Lodestone,Shadow,Ink","A five-sanctum synthesis course offers multiple systemic routes, not fifteen matching locks.",The final Nail initiates a controlled descent through the sanctums. It does not cure the protagonist.,Repeat the opening parade's short-short-long jump rhythm.,EXPERIMENTAL authored graybox; construction and component receipts separate,UNKNOWN - no end-to-end completion claim
